GAAG
Arbiter(B2)	6	4	5	12	7	5	3	9	2	6	5	5	4	5	4	4	4	7	5	6	6	7	7	13	5	9	10	12	11	6	1	2	3	6	5	7	4	0	2	0	4	4	4	2	7	6	5	6	4	3	8	6	5	3	5	2	9	3	8	9	6	10	5	4	2	4	4	5	2	4	3	4	4	7
Ares(B2)	7	4	3	8	9	6	3	9	2	9	4	4	4	6	4	6	1	6	4	8	4	7	8	9	8	9	11	13	9	7	2	2	4	5	6	6	8	7	1	1	6	5	6	2	4	8	5	7	1	8	6	7	5	2	3	4	9	1	6	9	10	8	5	5	2	1	7	5	3	4	4	2	5	7
Eaglehorse(B2)	8	7	5	8	8	6	4	10	3	8	4	4	4	7	4	7	1	6	4	7	4	7	8	10	8	9	11	12	9	8	2	2	4	6	4	6	5	1	1	2	4	3	5	2	4	7	5	6	3	8	5	7	5	2	4	4	8	1	7	9	11	8	5	3	2	1	6	5	3	3	3	2	4	6
Hedgerow(B2)	7	4	3	8	10	5	4	11	3	8	5	4	2	5	4	7	2	7	4	8	4	7	7	10	7	8	9	14	10	8	2	3	4	5	8	6	5	1	1	1	4	4	7	2	3	8	5	6	3	7	5	7	5	3	3	3	9	1	6	9	9	8	5	5	2	1	7	5	3	5	4	3	5	7
Kheth(B2)	6	4	5	8	8	6	3	7	2	9	4	4	4	6	3	6	1	6	4	8	4	7	8	9	8	9	10	12	9	7	2	2	4	5	6	6	5	1	1	1	6	4	5	2	4	8	5	6	3	9	7	7	4	2	3	5	8	1	6	9	10	9	5	3	2	1	7	6	3	4	4	3	4	7
Laurie(B2)	8	3	4	13	6	7	5	10	3	8	4	5	2	5	4	5	3	6	5	6	7	6	6	8	4	8	11	12	13	6	3	2	3	6	6	9	2	5	3	4	5	7	2	4	9	5	6	5	9	3	8	5	3	4	4	6	3	5	7	10	7	10	5	3	1	7	6	4	1	4	6	3	6
LizLemon(B2)	6	6	5	8	10	6	2	9	2	7	5	4	3	5	3	6	4	7	3	6	4	7	7	7	7	8	8	14	9	8	2	2	3	5	5	6	4	1	1	1	5	6	6	2	3	8	5	6	3	7	5	7	4	3	3	4	9	2	5	9	10	9	5	6	2	2	6	5	3	3	5	2	4	7
Qyrzula(B2)	7	4	5	12	8	6	3	11	2	7	5	5	4	6	4	4	4	7	4	6	6	7	8	12	6	8	10	12	11	6	1	2	3	7	7	7	7	6	2	1	4	7	6	2	6	5	5	7	4	4	8	6	4	3	5	2	9	3	7	9	6	8	5	5	2	4	4	5	2	4	4	4	3	6
Rosebush(B2)	7	6	5	8	10	7	2	8	2	7	5	4	3	5	4	6	2	7	4	8	4	7	7	9	7	8	9	14	9	8	2	2	3	5	7	6	5	1	1	1	4	6	7	2	3	8	5	6	3	7	5	7	5	3	3	3	9	1	6	9	10	9	5	6	2	1	7	5	3	3	4	2	4	7
TA17A(B2)	7	5	3	8	8	5	3	9	2	8	4	4	3	6	4	6	3	6	4	8	4	7	8	10	7	9	11	12	9	6	2	3	4	5	4	6	5	1	1	2	6	5	6	2	4	7	4	6	3	10	6	7	4	2	3	4	10	1	6	8	8	8	6	2	2	4	6	5	3	4	3	3	4	6
