TCGA
Angel(G)	19	24	22	27	24	24	23	20	30	28	24	31	32	17	11	27	19	19	20	15	33	22	42	41	26	34	14	19	20	21	27	10	17	33	30	23	25	30	18	23	25	25	27	24	23
Annihilator(G)	19	23	21	29	18	28	23	15	30	30	23	31	30	20	10	25	21	20	17	13	33	26	34	46	30	35	19	14	22	23	28	14	13	26	28	26	28	28	22	18	27	28	22	24	24	22
Avrafan(G)	19	24	20	29	18	28	23	15	30	30	23	30	30	20	10	25	21	20	18	13	32	26	34	46	30	33	20	14	22	23	28	14	13	27	28	26	28	27	23	18	27	29	22	24	24	22
BPs(G)	19	22	21	29	18	28	23	15	30	30	23	30	30	20	10	25	21	20	18	13	32	26	34	46	30	33	20	14	22	23	28	14	13	27	28	26	28	27	23	18	27	29	22	24	24	22
BQuat(G)	19	24	21	27	24	24	23	14	30	30	23	31	30	20	10	25	21	20	17	13	32	26	34	46	30	34	19	14	22	23	28	14	13	26	28	26	28	28	25	18	24	26	19	22	27	22
BruceB(G)	19	22	22	29	18	28	23	15	30	30	23	30	30	20	10	25	21	20	18	13	32	26	34	46	30	33	20	14	22	23	28	14	13	27	28	26	28	27	23	18	27	29	22	25	24	22
Cherrybomb426(G)	19	24	21	27	24	24	23	20	30	28	24	28	31	16	11	28	20	19	20	15	33	22	42	41	25	34	15	19	20	21	27	10	16	34	28	23	26	29	19	22	25	25	27	23	23
Frosty24(G)	19	20	23	29	18	28	23	15	30	30	23	30	30	20	10	25	21	20	18	13	32	26	34	46	30	33	20	14	22	23	28	14	13	27	28	26	28	27	23	18	27	29	22	24	24	21
Gomashi(G)	19	23	21	29	18	28	23	15	30	30	23	30	30	20	10	25	21	20	17	13	32	26	34	46	30	33	20	14	21	23	28	14	13	27	28	26	28	27	23	18	27	29	21	24	24	22
Halo(G)	19	23	20	27	21	29	23	14	26	27	25	28	32	22	10	19	28	20	15	15	30	28	34	43	33	32	27	12	16	21	31	17	10	25	35	27	24	29	25	13	26	30	22	26	20	23
Hope(G)	19	24	19	30	18	28	23	15	30	30	23	30	30	20	10	25	21	20	18	13	32	26	34	46	30	33	20	14	22	23	28	14	13	27	28	26	28	27	23	18	27	29	22	20	27	22
Liefie(G)	17	23	20	28	24	25	26	20	27	31	22	28	31	17	11	23	22	21	21	12	35	25	39	47	25	36	20	17	21	21	25	10	15	29	30	20	28	30	23	23	26	25	24	22	24	22
Phreak(G)	19	24	21	27	18	28	23	15	30	30	23	30	30	20	10	25	21	20	18	13	32	26	34	46	30	33	20	14	22	23	28	14	13	27	28	26	28	27	23	18	27	27	20	22	27	22
Zombie(G)	19	24	19	30	18	28	23	15	30	30	23	30	30	20	10	25	21	20	18	13	32	26	34	46	30	33	20	14	22	23	28	14	13	27	28	26	28	27	23	18	27	29	22	20	27	22
